case,warmup,status,processing_seconds,end_to_end_seconds,compute_usd_per_requested_video_second,build_count,requested_video_seconds
BASE_WARMUP,True,exported,51.0802210518159,56.81853345804848,0.014056520089444153,2,5
BASE_WARM_5S,False,exported,46.40657615708187,51.30097120802384,0.012770402253596973,2,5
BASE_WARM_20S,False,exported,106.85302312811837,120.33195699995849,0.007351092239277032,2,20
REUSE_WARMUP,True,exported,34.7935948302038,42.43842316593509,0.009574681836607934,1,5
REUSE_WARM_5S,False,exported,27.212306557688862,31.807064958033152,0.007488423619393639,0,5
REUSE_WARM_20S,False,exported,88.86315413471311,98.85946495796088,0.006113455881675171,0,20
