run_id,backend,endpoint,requested_seconds,requested_resolution,measured_width,measured_height,measured_video_seconds,measured_end_to_end_seconds,target_wait_seconds,latency_pass,provider_reported_inference_seconds,tariff_generation_usd,response_billable_units,base_unit_price_usd,actual_reconciled_charge_usd,billing_status,samples,provider_reported_denoising_seconds,non_promotional_generation_usd
P01_FAL_5S_001,fal.ai,minimax/h3/text-to-video,5,768P,1344,768,5.166667,102.6437415,15,false,96.12800002098083,0.30,6.0,0.05,,billing_scope_denied,1,,0.30
P01_FAL_TURBO_5S_001,fal.ai,minimax/h3-max-turbo/text-to-video,5,768P,1344,768,5.166667,9.121913750000001,15,true,2.0850000381469727,0.10,8.0,0.0125,,billing_scope_denied,1,1.4968717010342516,0.20
P01_FAL_MAX_5S_001,fal.ai,minimax/h3-max/text-to-video,5,768P,1344,768,5.166667,13.552242291,15,true,3.109999895095825,0.20,8.0,0.025,,billing_scope_denied,1,2.4947251179255545,0.40
